OBJECTID,PRNAME,PRUID,DGUID,CDUID,CDNAME,DAUID,Total_15_to_19_years,Men_15_to_19_years,Women_15_to_19_years,Shape_Area(m^2),Shape_Area(km^2),Total_15_Density,Men_15_Density,Women_15_Density,ORIG_FID,Long,Lat,Coordinate
1,Manitoba,46,2021S051246110001,4611,Division No. 11,46110001,165,85,85,9306314.122,9.306314122,17.72989798,9.13358381,9.13358381,1,-97.14318389,49.97460892,-097.14318389 49.97460892
2,Manitoba,46,2021S051246110002,4611,Division No. 11,46110002,215,100,110,4908739.218,4.908739218,43.79943412,20.37182983,22.40901281,2,-97.11733458,49.96381609,-097.11733458 49.96381609
3,Manitoba,46,2021S051246110003,4611,Division No. 11,46110003,30,15,25,162766.2394,0.162766239,184.3134062,92.15670309,153.5945052,3,-97.13536032,49.95574393,-097.13536032 49.95574393
4,Manitoba,46,2021S051246110004,4611,Division No. 11,46110004,15,10,5,263000.4215,0.263000421,57.03412913,38.02275275,19.01137638,4,-97.14200567,49.95416938,-097.14200567 49.95416938
5,Manitoba,46,2021S051246110005,4611,Division No. 11,46110005,40,15,25,156862.6821,0.156862682,255.0001024,95.62503839,159.375064,5,-97.13681025,49.95199754,-097.13681025 49.95199754
6,Manitoba,46,2021S051246110006,4611,Division No. 11,46110006,40,20,15,142783.5113,0.142783511,280.1443922,140.0721961,105.0541471,6,-97.13171873,49.95104338,-097.13171873 49.95104338
7,Manitoba,46,2021S051246110007,4611,Division No. 11,46110007,30,15,15,123057.8253,0.123057825,243.7878284,121.8939142,121.8939142,7,-97.12759361,49.95242133,-097.12759361 49.95242133
8,Manitoba,46,2021S051246110008,4611,Division No. 11,46110008,30,15,15,136552.9816,0.136552982,219.6949466,109.8474733,109.8474733,8,-97.12635594,49.94947185,-097.12635594 49.94947185
9,Manitoba,46,2021S051246110009,4611,Division No. 11,46110009,10,10,5,77990.71905,0.077990719,128.2203847,128.2203847,64.11019235,9,-97.12961302,49.94791024,-097.12961302 49.94791024
10,Manitoba,46,2021S051246110010,4611,Division No. 11,46110010,35,15,25,209765.8607,0.209765861,166.8526989,71.50829953,119.1804992,10,-97.13332006,49.94727816,-097.13332006 49.94727816
11,Manitoba,46,2021S051246110011,4611,Division No. 11,46110011,20,10,10,123597.3379,0.123597338,161.815783,80.90789149,80.90789149,11,-97.12703996,49.94485289,-097.12703996 49.94485289
12,Manitoba,46,2021S051246110012,4611,Division No. 11,46110012,45,25,20,195422.129,0.195422129,230.2707489,127.9281938,102.342555,12,-97.12847443,49.94222186,-097.12847443 49.94222186
13,Manitoba,46,2021S051246110013,4611,Division No. 11,46110013,20,5,10,70088.06537,0.070088065,285.3552869,71.33882171,142.6776434,13,-97.12350287,49.94379063,-097.12350287 49.94379063
14,Manitoba,46,2021S051246110014,4611,Division No. 11,46110014,35,20,15,107659.8526,0.107659853,325.0979745,185.7702711,139.3277034,14,-97.1191457,49.94160359,-097.11914570 49.94160359
15,Manitoba,46,2021S051246110015,4611,Division No. 11,46110015,35,10,20,176409.7452,0.176409745,198.4017377,56.68621079,113.3724216,15,-97.11764322,49.9433724,-097.11764322 49.94337240
16,Manitoba,46,2021S051246110016,4611,Division No. 11,46110016,20,10,10,258325.0615,0.258325061,77.42183389,38.71091695,38.71091695,16,-97.11479227,49.94587622,-097.11479227 49.94587622
17,Manitoba,46,2021S051246110017,4611,Division No. 11,46110017,35,10,20,162115.6878,0.162115688,215.8952072,61.68434492,123.3686898,17,-97.11230127,49.94054686,-097.11230127 49.94054686
18,Manitoba,46,2021S051246110018,4611,Division No. 11,46110018,45,20,20,184209.9779,0.184209978,244.2864415,108.5717518,108.5717518,18,-97.11917847,49.93844692,-097.11917847 49.93844692
19,Manitoba,46,2021S051246110019,4611,Division No. 11,46110019,35,20,15,176621.9795,0.17662198,198.1633322,113.2361898,84.92714237,19,-97.11532384,49.93602703,-097.11532384 49.93602703
20,Manitoba,46,2021S051246110020,4611,Division No. 11,46110020,45,25,20,462067.6589,0.462067659,97.38833509,54.10463061,43.28370449,20,-97.11009543,49.93568169,-097.11009543 49.93568169
